,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
2,,,,,,,,,,,,,,,,,,,,o
3,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
4,ob2,,,,,,,,,,,,,,,,,,,ob1
5,o,o,o,o,o,ob1,ob1,ob1,ob1,ob1,ob1,ob1,ob1,ob2,ob2,o,o,o,o,o
6,,,,,,ob1,ob1,h,h,h,h,h,h,ob2,ob2,,,,,
7,o,o,o,o,o,ob1,ob1,h,h,h,h,h,h,ob2,ob2,o,o,o,o,o
8,ob2,,,,,ob1,ob1,h,h,h,h,h,h,ob2,ob2,,,,,ob1
9,o,o,o,o,o,ob1,ob1,ob1,ob1,ob1,ob2,ob2,ob2,ob2,ob2,o,o,o,o,o
10,,,,,,ob1,ob1,ob1,ob1,ob1,ob2,ob2,ob2,ob2,ob2,,,,,
11,o,o,o,o,o,ob1,ob1,h,h,h,h,h,h,ob2,ob2,o,o,o,o,o
12,ob2,,,,,ob1,ob1,h,h,h,h,h,h,ob2,ob2,,,,,ob1
13,o,o,o,o,o,ob1,ob1,h,h,h,h,h,h,ob2,ob2,o,o,o,o,o
14,,,,,,ob1,ob1,h,h,h,h,h,h,ob2,ob2,,,,,
15,o,o,o,o,o,ob2,ob2,ob2,ob2,ob2,ob2,ob2,ob2,ob2,ob2,o,o,o,o,o
16,ob2,,,,,,,,,,,,,,,,,,,ob1
17,o,o,o,o,o,o,o,o,o,o,o,o,o,,o,o,o,o,o,o
18,,,,,,,,,,,,,ob1,,ob2,,,,,
19,,,,,,,,,,,,,ob1,,ob2,,,,,
20,o,o,o,o,o,o,o,o,o,o,o,o,o,w,o,o,o,o,o,o
